Operation,Address,Data
R,0x00000C0D,
W,0x000036A5,0x22222222
R,0x00002812,
W,0x000039FA,0x12345678
W,0x00000E88,0x22222222
W,0x00001FF2,0x687b890a
W,0x000018CE,0x44444444
R,0x00000654,
W,0x00003711,0xf809b234
W,0x000025E0,0x88888888
R,0x00000187,
W,0x00001606,0x44444444
W,0x000015C2,0xf809b234
R,0x00003611,
R,0x0000125E,
W,0x00000181,0x687b890a
R,0x00001DC0,
W,0x00002230,0x16420982
W,0x000021C2,0x16420982
R,0x0000272D,
W,0x000035D6,0x79824691
W,0x00000F18,0x22222222
R,0x00001E7C,
W,0x0000353F,0x687b890a
R,0x000037E3,
W,0x000001C6,0x66666666
W,0x0000315D,0x77777777
W,0x00003788,0x88888888
W,0x0000031C,0x88888888
W,0x00000933,0x66666666
W,0x0000002C,0x55555555
R,0x000028C1,
R,0x00002569,
W,0x00000431,0x22222222
W,0x000002D6,0x55555555
R,0x00000E6A,
W,0x000039A9,0xf809b234
R,0x00003BE0,
W,0x00003FFD,0x99999999
W,0x000037FE,0x99999999
W,0x00000065,0x66666666
R,0x0000142D,
R,0x0000343A,
W,0x00002CC2,0x15946378
W,0x00003F21,0x77777777
W,0x0000204B,0x687b890a
R,0x00001736,
R,0x00002549,
W,0x000036D5,0x33333333
R,0x000037B6,
R,0x00003CA3,
R,0x00003C42,
R,0x00002D52,
R,0x00001960,
R,0x000033C3,
R,0x00003D7F,
W,0x000020F0,0x44444444
R,0x000002D2,
W,0x000006DD,0x33333333
R,0x00000EE0,
W,0x0000313F,0x12345678
W,0x00000967,0x22222222
R,0x00003990,
W,0x00001FE3,0x44444444
R,0x00001754,
R,0x00000604,
R,0x00001548,
R,0x00002828,
W,0x000026E8,0x12345678
W,0x00003F87,0x44444444
R,0x00001269,
R,0x00000CF4,
W,0x00000FE7,0x44444444
W,0x00000040,0x77777777
W,0x00003AC1,0x99999999
W,0x000025B6,0x33333333
R,0x000023C3,
R,0x00001335,
R,0x0000377F,
W,0x0000180A,0x33333333
R,0x000013B3,
R,0x000037FF,
W,0x0000259E,0x88888888
R,0x00003831,
R,0x000007C3,
W,0x0000397C,0xf809b234
W,0x00002542,0xf809b234
W,0x00000425,0x22222222
W,0x00000C81,0x88888888
W,0x00003514,0x22222222
W,0x000027C9,0xf809b234
W,0x00000139,0xf809b234
W,0x0000112C,0x99999999
W,0x00000974,0x44444444
R,0x00003B8D,
W,0x00002840,0xf809b234
R,0x00000D8C,
R,0x000006BA,
W,0x00000BB9,0x16420982
R,0x000028E2,
